ID,categoria
271,Entretenimiento
165,Deportes
397,Deportes
879,Deportes
777,Deportes
491,Deportes
972,Deportes
813,Película y Animación
686,Entretenimiento
238,Entretenimiento
802,Gente y Blogs
678,Deportes
43,Película y Animación
593,Película y Animación
613,Entretenimiento
999,Entretenimiento
590,Película y Animación
862,Película y Animación
74,Gente y Blogs
308,Gente y Blogs
504,Película y Animación
583,Entretenimiento
749,Deportes
751,Película y Animación
814,Película y Animación
641,Entretenimiento
975,Entretenimiento
277,Entretenimiento
293,Entretenimiento
398,Entretenimiento
423,Película y Animación
895,Película y Animación
186,Película y Animación
119,Película y Animación
869,Película y Animación
138,Película y Animación
842,Película y Animación
76,Película y Animación
936,Película y Animación
477,Película y Animación
433,Película y Animación
615,Deportes
229,Película y Animación
695,Película y Animación
66,Película y Animación
917,Gente y Blogs
322,Deportes
938,Otros
242,Entretenimiento
436,Película y Animación
934,Otros
774,Entretenimiento
354,Entretenimiento
202,Entretenimiento
735,Deportes
14,Educación
441,Película y Animación
951,Deportes
761,Entretenimiento
333,Película y Animación
644,Entretenimiento
880,Película y Animación
153,Entretenimiento
378,Entretenimiento
431,Película y Animación
413,Deportes
640,Entretenimiento
363,Película y Animación
726,Otros
649,Otros
604,Película y Animación
713,Entretenimiento
41,Educación
808,Educación
95,Entretenimiento
815,Entretenimiento
162,Película y Animación
447,Entretenimiento
347,Entretenimiento
320,Deportes
337,Película y Animación
971,Entretenimiento
356,Deportes
796,Película y Animación
113,Educación
221,Educación
602,Educación
702,Educación
514,Educación
821,Educación
775,Película y Animación
724,Película y Animación
706,Película y Animación
687,Película y Animación
190,Película y Animación
367,Película y Animación
717,Película y Animación
49,Entretenimiento
835,Película y Animación
801,Deportes
268,Deportes
336,Película y Animación
299,Película y Animación
757,Deportes
723,Deportes
63,Película y Animación
677,Película y Animación
207,Gente y Blogs
572,Entretenimiento
625,Entretenimiento
956,Entretenimiento
254,Deportes
68,Deportes
175,Película y Animación
407,Deportes
708,Película y Animación
210,Otros
222,Película y Animación
316,Otros
490,Deportes
219,Educación
544,Deportes
816,Película y Animación
141,Entretenimiento
399,Deportes
298,Otros
733,Entretenimiento
451,Entretenimiento
783,Entretenimiento
567,Película y Animación
770,Deportes
124,Película y Animación
12,Entretenimiento
56,Entretenimiento
964,Película y Animación
123,Deportes
264,Deportes
522,Deportes
891,Deportes
797,Deportes
669,Deportes
955,Deportes
663,Entretenimiento
115,Gente y Blogs
169,Gente y Blogs
741,Gente y Blogs
145,Gente y Blogs
118,Gente y Blogs
191,Gente y Blogs
915,Gente y Blogs
295,Gente y Blogs
629,Gente y Blogs
683,Entretenimiento
351,Gente y Blogs
621,Entretenimiento
581,Entretenimiento
429,Película y Animación
288,Entretenimiento
985,Entretenimiento
535,Entretenimiento
199,Entretenimiento
270,Entretenimiento
314,Entretenimiento
157,Entretenimiento
742,Entretenimiento
913,Entretenimiento
37,Entretenimiento
591,Entretenimiento
89,Entretenimiento
328,Entretenimiento
860,Entretenimiento
825,Entretenimiento
61,Entretenimiento
841,Entretenimiento
350,Entretenimiento
480,Entretenimiento
705,Entretenimiento
445,Entretenimiento
782,Entretenimiento
805,Entretenimiento
878,Entretenimiento
550,Gente y Blogs
838,Gente y Blogs
108,Gente y Blogs
791,Entretenimiento
59,Entretenimiento
853,Deportes
335,Deportes
232,Película y Animación
60,Película y Animación
223,Deportes
462,Deportes
416,Deportes
272,Deportes
8,Deportes
151,Película y Animación
104,Película y Animación
83,Película y Animación
658,Película y Animación
864,Película y Animación
