ID,categoria
271,Película y Animación
165,Deportes
397,Deportes
879,Deportes
777,Deportes
491,Deportes
972,Deportes
813,Entretenimiento
686,Entretenimiento
238,Entretenimiento
802,Otros
678,Deportes
43,Gente y Blogs
593,Deportes
613,Entretenimiento
999,Película y Animación
590,Película y Animación
862,Otros
74,Gente y Blogs
308,Gente y Blogs
504,Gente y Blogs
583,Entretenimiento
749,Deportes
751,Película y Animación
814,Película y Animación
641,Deportes
975,Entretenimiento
277,Entretenimiento
293,Película y Animación
398,Deportes
423,Película y Animación
895,Película y Animación
186,Película y Animación
119,Película y Animación
869,Película y Animación
138,Película y Animación
842,Película y Animación
76,Película y Animación
936,Película y Animación
477,Película y Animación
433,Película y Animación
615,Deportes
229,Película y Animación
695,Deportes
66,Película y Animación
917,Gente y Blogs
322,Deportes
938,Otros
242,Entretenimiento
436,Deportes
934,Otros
774,Entretenimiento
354,Entretenimiento
202,Gente y Blogs
735,Gente y Blogs
14,Deportes
441,Deportes
951,Deportes
761,Gente y Blogs
333,Deportes
644,Deportes
880,Película y Animación
153,Educación
378,Entretenimiento
431,Educación
413,Deportes
640,Entretenimiento
363,Otros
726,Otros
649,Otros
604,Película y Animación
713,Educación
41,Educación
808,Educación
95,Entretenimiento
815,Entretenimiento
162,Película y Animación
447,Entretenimiento
347,Entretenimiento
320,Deportes
337,Educación
971,Gente y Blogs
356,Deportes
796,Educación
113,Educación
221,Educación
602,Educación
702,Educación
514,Educación
821,Película y Animación
775,Película y Animación
724,Película y Animación
706,Película y Animación
687,Película y Animación
190,Educación
367,Película y Animación
717,Película y Animación
49,Película y Animación
835,Película y Animación
801,Deportes
268,Deportes
336,Película y Animación
299,Película y Animación
757,Deportes
723,Deportes
63,Educación
677,Película y Animación
207,Gente y Blogs
572,Deportes
625,Entretenimiento
956,Entretenimiento
254,Deportes
68,Deportes
175,Película y Animación
407,Deportes
708,Película y Animación
210,Otros
222,Deportes
316,Otros
490,Deportes
219,Película y Animación
544,Deportes
816,Otros
141,Deportes
399,Deportes
298,Otros
733,Entretenimiento
451,Entretenimiento
783,Entretenimiento
567,Entretenimiento
770,Película y Animación
124,Entretenimiento
12,Entretenimiento
56,Entretenimiento
964,Película y Animación
123,Deportes
264,Deportes
522,Deportes
891,Deportes
797,Deportes
669,Deportes
955,Deportes
663,Entretenimiento
115,Entretenimiento
169,Entretenimiento
741,Entretenimiento
145,Entretenimiento
118,Entretenimiento
191,Entretenimiento
915,Gente y Blogs
295,Gente y Blogs
629,Gente y Blogs
683,Entretenimiento
351,Entretenimiento
621,Entretenimiento
581,Entretenimiento
429,Película y Animación
288,Entretenimiento
985,Entretenimiento
535,Entretenimiento
199,Entretenimiento
270,Entretenimiento
314,Entretenimiento
157,Entretenimiento
742,Entretenimiento
913,Entretenimiento
37,Entretenimiento
591,Entretenimiento
89,Entretenimiento
328,Entretenimiento
860,Entretenimiento
825,Entretenimiento
61,Entretenimiento
841,Entretenimiento
350,Entretenimiento
480,Entretenimiento
705,Entretenimiento
445,Entretenimiento
782,Entretenimiento
805,Entretenimiento
878,Entretenimiento
550,Entretenimiento
838,Entretenimiento
108,Entretenimiento
791,Entretenimiento
59,Educación
853,Deportes
335,Deportes
232,Gente y Blogs
60,Gente y Blogs
223,Deportes
462,Deportes
416,Deportes
272,Deportes
8,Deportes
151,Película y Animación
104,Película y Animación
83,Educación
658,Película y Animación
864,Película y Animación
